"filename", "language", "JSON", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "MS SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\.trunk\trunk.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 1, 11
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\.env", "Dotenv", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\README.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\eslint.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 34
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\package-lock.json", "JSON", 3177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3178
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\App.css", "PostCSS", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 27, 185
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 178, 0, 0, 0, 0, 0, 1, 7, 186
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\css\EiraChatbox.css", "PostCSS", 0, 0, 0, 0, 1102, 0, 0, 0, 0, 54, 55, 1211
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\css\about-us.css", "PostCSS", 0, 0, 0, 0, 840, 0, 0, 0, 0, 15, 63, 918
